umhlaba	u m hlaba
usazobuya	u sa zobuy a
isigqabo	i si gqab o
waphela	w a phel a
yayo	ya yo
sokela	sok el a
angibange	a ngi bang e
ngalamazwi	nga la ma zwi
waqala	w a qal a
ezisola	e zi sol a
yilona	yi lo na
waphefumula	w a phefumul a
yizinto	y i zin to
zibulalane	zi bulal an e
engayibuzi	e nga yi buz i
ekhumbule	e khumbul e
okhuleni	o khul eni
imizuzu	i mi zuzu
asisaphefumuli	a si sa phefumul i
ngimbukisise	ngi m buk isis e
wayegange	w a ye gang e
ngingasawaboni	ngi nga sa wa bon i
lokhukuhlamuka	lo khu ku hlamuk a
ayikhombise	a yi khomb is e
kabe	ka be
indima	i n dima
usathenga	u sa theng a
indlu	i n dlu
waqhweba	w a qhweb a
ebesiyomngcwaba	e be si yo m ngcwab a
nginyathela	ng i nyathela, ngi nyathel a
belidla	be li dl a
lezinkukhu	l e zin kukhu
mntanami	m ntana mi, m ntan a mi
waqhubeka	w a qhub ek a
bephelela	be phel el a
watabalasa	w a tabalas a
namaphela	n a ma phela
yaseyideni	y aseyideni
ngaphandle	nga phandle
kuzofuneka	ku zo fun ek a
mnu	mnu
nangu	nan gu
nango	nan g o
wasibingelela	w a si bingelel a
ngalelo	nga le l o
uyagcizelela	u ya gcizel el a
ongamvusa	o nga m vus a
ibheda	i bhed a
ngisiphikise	ngi si phik is e
kungashiwo	ku nga sh iw o
okuthile	o ku th ile
zingamawundlu	zi ng a ma wundlu
bahlabe	ba hlab e
abuya	a buy a
ijulukiswa	i juluk is w a
bayathetha	ba ya theth a
kuhlakazeka	ku hlakaz ek a
esiyomfica	e si yo m fic a
eziphikisa	e zi phik is a
kwakungasamcindezele	kw a ku nga sa m cindez el e
uzama	u zam a
baphathiswe	ba phath is w e
ukomvakashela	u ko m vakashel a
nkilimane	nkilimane
baphuma	ba phum a
nesiguli	n e si gul i
baphume	b a phum e, ba phum e
luncane	lu ncane
imfiva	i m fiva
zisaphila	zi sa phil a
ngizogawula	ngi zo gawul a
uyamchwensa	u ya m chwens a
otom	o tom
okomuntu	o k o mu ntu
engingezibale	e ngi nge zi bal e
ayengayazi	a ye nga y azi
kabayingeni	ka ba yi ngen i
bayovuka	ba yo vuk a
indoda	i n doda
ongakuvimba	o nga ku vimb a
abakufuni	a ba ku fun i
nalaba	na la ba
ngizame	ngi zam e
nalabo	na la b o
ngizama	ngi zam a
izikhwama	i zi khwama
bengizincokolela	be ngi zi ncokol el a
asazi	a s azi
lwaluzozingenela	lw a lu zo zi ngen el a
ikwakhe	i kw akh e
acwala	a cwal a
ungunkalimba	u ng u nkalimba
okuyiphinda	o ku yi phind a
umnikelo	u m nik el o
yilanga	y i langa
iyini	i yi ni
siyayibona	si ya yi bon a
eyindoda	e y i n doda
nenkokhelo	n e n kokhel o
umlenze	u m lenze
ngiyobaxosha	ngi yo ba xosh a
zibulewe	zi bule w e
sebehlobe	se be hlob e
isithukuthele	i si thukuthel e
wawuyibonephi	w a wu yi bon e phi
sesixoxa	se si xox a
ubusejubaneni	u b u se juban eni
akabona	a ka bo na
mali	mali
akaboni	a ka bon i
sekushisekile	se ku sh is ek ile
uqonde	u qond e
nezinyawo	n e zi nyawo
sike	si ke
zisele	zi sel e
nekadadewabo	n e ka dade wa bo
ahlabayo	a hlab a yo
wazilanda	w a zi land a
kolimi	k o limi
azokuba	a zo ku b a
ngizokwazi	ngi zo kw azi
angaphaphama	a nga phapham a
kwenziwani	kw enz iw a ni
esebuyile	e se buy ile
ayiphinde	a yi phind e
ngiyaklatshelwa	ngi ya klatsh el w a
nokumshaya	n o ku m shay a
ngokulithunzi	ng o ku lithunzi
ngingakuphatha	ngi nga ku phath a
eyayisalindelekile	e y a yi sa lind el ek ile
wayengasasikhulumi	w a ye nga sa si khulum i
saxoxa	s a xox a
ngasendlini	nga se ndl ini
kuzofanela	ku zo fanel a
bahola	ba hol a
kwanongoma	kwa no ngoma
ngalesisikhathi	nga le si si khathi
ugovu	u govu
samgeza	s a m gez a
ongawela	o nga wel a
yethu	y ethu
uligqibile	u li gqib ile
eyase	e y a se
kushwelezwe	ku shwelez w e
wagqunqa	w a gqunq a
yithemba	y i themba
seziyashesha	se zi ya shesh a
yibo	yi bo
khehlehle	khehlehle
xola	xol a
ukedorlawomere	u kedorlawomere
angawunyakazisa	a nga wu nyakaz is a
nokufulathela	n o ku fulathel a
kabhanana	ka bhanana
yokuhlala	y o ku hlal a
uthe	u th e
waseposini	wa se pos ini
kakulungile	ka ku lung ile
yathi	y a thi
lamanzi	l a ma nzi
basikhombisa	ba si khomb is a
ulunya	u luny a
usebonwe	u se bon w e
nimtshele	ni m tshel e
ubiza	u biz a
umphongolo	u m phongolo
kugezwa	ku gez w a
kugezwe	ku gez w e
ngomakoti	ng o makoti
othisha	o thisha
kunkk	ku n kk
wacela	w a cel a
wahle	w a hle
ngubani	ng u bani
ugoduke	u goduk e
esihambini	e si hamb ini
mazibuko	ma zibuko
angavuma	a nga vum a
sekuwucu	se ku w u cu
likade	likade
abathunjiwe	a ba thunj iw e
engalambi	e nga lamb i
katom	ka tom
lingazinqumela	li nga zi nqum el a
bazokhuluma	ba zo khulum a
azikhuluma	a zi khulum a
ayeke	a yek e
induna	i n duna
muthi	mu thi
kwesihloko	kw e si hloko
ingakwesikababa	i nga kw e sika baba
azinikwe	a zi nik w e
awazange	a w a zang e
nenkosi	n e n kosi
mdala	m dala
yimpelesi	yimpelesi
ngizele	ngi z el e
buhle	bu hle
bayalibala	ba ya libal a
akathanga	a ka th anga
ngesongwana	ng e songw ana
wazofika	w a zo fik a
sifinyelele	si finyel el e
ngingekuhumushe	ngi nge ku humush e
ozodinga	o zo ding a
bengaka	be ngaka
befika	be fik a
njengomakhonya	njeng o ma khonya
ngizokuza	ngi zo ku z a
sesihambile	se si hamb ile
nohlelo	n o hlel o
eniyenzayo	e ni y enz a yo
wayesephathiswa	w a ye se phath is w a
angazingcolisi	a nga zi ngcol is i
yayihamba	y a yi hamb a
iyona	i yo na
ngakhona	nga kho na
wasezitendeni	w a se zi tend eni
noma	noma
isibongo	i si bong o
ngibuza	ngi buz a
siyaziphumela	si ya zi phum el a
babulale	ba bulal e
akanangqando	a ka na n gqand o
ingozi	i n gozi
kasikho	ka si kho
nomuzi	n o mu zi
sengithinteka	se ngi thint ek a
kwakungupagiyeli	kw a ku ng u pagiyel i, kw a ku ng u pagiyeli
kwakungeke	kw a ku ngeke
uyahlekisa	u ya hlek is a
umbobo	u m bobo
okwebutho	o kw e buth o
engilethe	e ngi leth e
ufunani	u fun a ni
ngacela	ng a cel a
ifundwa	i fund w a
ngiyaqhaqhazela	ngi ya qhaqhaz el a
kokuduma	k o ku dum a
yiwona	yi wo na
benamahloni	be n a ma hloni
kumbelwe	ku mb el w e
ukuphenduka	u ku phenduk a
esengithanda	e se ngi thand a
yalezi	ya le zi
bha	bha
sizobuye	si zo buye
bhe	bhe
sibakhombe	si ba khomb e
waqutshulwa	w a qutshul w a
kulendawo	ku le n dawo
abangase	a ba nga se
ngangibatshelile	ng a ngi ba tshel ile
nalokho	na lo kh o
bhu	bhu
ibhola	i bhola
iwaso	i wa so
bekhona	be kho na
bathumele	ba thum el e
kwadalwa	kw a dal w a
wayengasabheki	w a ye nga sa bhek i
usuyangithanda	u s u ya ngi thand a
bengatholakala	be nga thol akal a
zikhalele	zi khalel e
yawo	ya wo
kwentaba	kw e n taba
yavele	y a vel e
kumcasule	ku m casul e
libathutha	li ba thuth a
makubhotshozwe	ma ku bhotshoz w e
okushiwo	o ku sh iw o
ngezimpande	ng e zim pande
abekade	a be kade
uyebolekile	u ye bolek ile
yilolu	yilolu
tshela	tshel a
uphikelele	u phikelel e
kwenye	kw e nye
eyamxaka	e y a m xak a
ezikhalini	e zi khal ini
ngangingasathandi	ng a ngi nga sa thand i
ngezinsuku	ng e zin suku
basabonakala	ba sa bon akal a
lwambamba	lw a m bamb a
yenzani	y enz a ni
yeka	yek a
lokho	lo kh o
adumbe	a dumb e
kade	ka de
lokhu	lo khu
ukuzwisisa	u ku zw isis a
esethi	e se thi
ngamuzwa	ng a mu zw a
ngimlandela	ngi m landel a
sazibala	s a zi bal a
kwalo	kwa lo
ejahe	e jah e
ukucula	u ku cul a
beqondana	be qond an a
kwale	kwa le
kangazi	ka ng azi
esewatholile	e se wa thol ile
likhomba	li khomb a
sokuba	s o ku b a
ngensini	ng e n sini
lokuthi	l o kuthi
iculo	i cul o
wawabona	w a wa bon a
kwazise	kw a zi s e
sasindwa	s a sind w a
ngoke	ngoke
indwangu	i n dwangu
uzilile	u zi lil e
ngalena	nga le na
umntanomuntu	u m ntan o mu ntu
seyiphumile	se yi phum ile
abeseduze	a be se duze
bekuyikunibikela	be ku yi ku ni bik el a
angaqedi	a nga qed i
babulalane	ba bulal an e
angaqeda	a nga qed a
wenzela	w enzel a
ayisakhululekile	a yi sa khulul ek ile
sengingazikholisa	se ngi nga zi khol is a
sehlukane	s ehluk an e
kwakuye	kw a ku y e
nakunkosazana	na ku n kos az ana
kuzodingaka	ku zo dingak a
nosheleni	n o sheleni
ngiyoye	ngi yo y e
insini	i n sini
lase	la se
esebuqamana	e se buqamana
uzace	u zac e
umdala	u m dala
yokukholwa	y o ku khol w a
emshadweni	e m shad w eni
sengiyi	se ngi yi
bashonaphi	ba shon a phi
esehwaqabele	e se hwaqabel e
angibazi	a ngi baz i
ngiyakubona	ngi ya ku bon a
engamvimba	e nga m vimb a
amawundlu	a ma wundlu
endabeni	e n dab eni
kwensizwa	kw e n sizwa
masinyane	masinyane
angayenzela	a nga y enz el a
imbulumakhasana	i m bulu ma khas ana
sizwe	si zwe
sizwa	si zw a
uzokwenzenjani	u zo kw enz e njani
waqhathwa	w a qhath w a
obakhe	o ba kh e
uyogcina	u yo gcin a
funa	fun a
mdadlana	m dadl ana
sekuvalwa	se ku val w a
kuvulande	ku vulande
ngesikweletu	ng e si kweletu
uzihlabe	u zi hlab e
kuxuxuzele	ku xuxuz el e
sisathuswe	si sa thus w e
yonozulazulane	y o n o zulazul ane
epimville	e pimville
ubekade	u be kade
alishisi	a li sh is i
okunyakazayo	o ku nyakaz a yo
ngiyamangala	ngi ya mangal a
wasuka	w a suk a
ngenye	ng e nye
ami	a mi
kuthunywa	ku thuny w a
muva	muva
ungamtshela	u nga m tshel a
ngangiyikhuluma	ng a ngi yi khulum a
bebona	be bon a
lonesi	lo nesi
ngohambo	ng o hamb o
zisenenkungu	zi se n e n kungu
engahambisani	e nga hamb is an i
bengaqondile	be nga qond ile
selimtholile	se li m thol ile
njengayizolo	njenga yizolo
limqhoqhobele	li m qhoqhobel e
okwakufanele	o kw a ku fan el e
uphathanisela	u phathanisel a
ekhuluma	e khulum a
lokushiya	l o ku shiy a
kwatholakala	kw a thol akal a
eseguge	e se gug e
lasegoli	la se goli
nabo	na bo
izinsizwa	i zin sizwa
esephetha	e se pheth a
impahla	i m pahla
ligcine	li gcin e
ukudepha	u ku deph a
ikhanda	i khanda
ubhekisisile	u bhek isis ile
lizikhalela	li zi khal el a
wayethi	w a ye thi
uthando	u thand o
unganiguleli	u nga ni gul el i
olulokhu	o lu lokhu
ezobukhosi	e z o bu khosi
uthanda	u thand a
uligodle	u li godl e
ngokugxila	ng o ku gxil a
ungabhala	u nga bhal a
owathanda	o w a thand a
ulibele	u libel e
ngafunga	ng a fung a
ukuyifunisisa	u ku yi fun isis a
ngangiphupha	ng a ngi phuph a
emabhokwini	e ma bhokw ini
kwakuthi	kw a ku thi
kuphakame	ku phakam e
wewu	wewu
sime	si m e
ngizokusiza	ngi zo ku siz a
simo	si mo
lamabutho	l a ma buth o, la ma buth o
okwakuhlezi	o kw a ku hlez i
ukukuzonda	u ku ku zond a
udlale	u dlal e
wakhathala	w a khathal a
kamkhize	ka mkhize
liyozilinganisa	li yo zi lingan is a
shwi	shwi
usakukhumbula	u sa ku khumbul a
bangehlukaniselana	ba ng ehlukan is el an a
bezindaba	b e zin daba
walotsholwa	w a lotshol w a
ngaqala	ng a qal a
ikamelo	i kamelo
angiphathe	a ngi phath e
d	d
yikhanda	y i khanda
kombhede	k o m bhede
nento	n e n to
iseka	i sek a
zithothombele	zi thothombel e
abahambi	a ba hamb i
kwakude	kwa ku de
bayangena	ba ya ngen a
azolutshela	a zo lu tshel a
ngingamsiza	ngi nga m siz a
kwedwala	kw e dwala
ngaziduduza	ng a zi duduz a
selicabanga	se li cabang a
bobabili	bo ba bili
bayamnqoba	ba ya m nqob a
ngiyozwa	ngi yo zw a
ngaphambili	nga phambili
kwaso	kwa so
lencwadi	l e n cwadi
lalimthatha	l a li m thath a
kafaro	ka faro
bengemuva	be ng emuva
kudlula	ku dlul a
kudlule	ku dlul e
eshela	e shel a
libathufelele	li ba thufel el e
be	be
qala	qal a
yonyazi	y o nyazi
bo	bo
izithupha	i zi thupha
wasala	w a sal a
zithule	zi thul e
untombazi	u ntomb azi
aswele	a swel e
lusuku	lu suku
belivula	be li vul a
okwamanjena	o kwa manje na
yilowo	yi lo w o
ngisaphinde	ngi sa phind e
ngalendaba	nga le n daba
ngisaphinda	ngi sa phind a
yaqonda	y a qond a
sondela	sondel a
akasheshanga	a ka shesh anga
uyongedusa	u yo ng edus a
kwakubuye	kw a ku buy e
emhlabeni	e m hlab eni
kasibuzi	ka si buz i
kulengonyama	ku le n go nyama
wazibona	w a zi bon a
igxumele	i gxum el e
ebese	e be se
ekhumula	e khumul a
into	i n to
waquleka	w a qul ek a
kubuphi	ku bu phi
kaningi	ka ningi
kuzo	ku zo
esebiza	e se biz a
ngokunikina	ng o ku nikin a
osengcono	o se ngcono
kuyaluzwa	ku ya lu zw a
lithe	li th e
usukhule	u s u khul e
lenkulunkahla	l e n kulunkahla
lithi	li thi
omusha	o mu sha
ungangizwisisi	u nga ngi zw isis i
intombi	i n tomb i
uyazibonela	u ya zi bon el a
ngezincwadi	ng e zin cwadi
kunani	kuna ni
sekusele	se ku s el e
ubone	u bon e
kwakuhlezi	kw a ku hlez i
ubona	u bon a
ayeseqala	a ye se qal a
ukuminyana	u ku miny an a
uzomangala	u zo mangal a
kwashaqeka	kw a shaq ek a
wahleka	w a hlek a
sihlezi	si hlez i
amanqe	a ma nqe
udlula	u dlul a
impi	i m pi
kagumede	ka gumede
wokuthi	w o kuthi
ulingana	u ling an a
eqhamuka	e qhamuk a
inkomo	i n komo
ozobona	o zo bon a
nesinqumo	n e si nqum o
wokuba	w o kuba
anqandeke	a nqand ek e
kukhanyile	ku khanyil e, ku khany ile
unawo	u na wo
ngiyasho	ngi ya sho
yokosa	y o k os a
ingasekho	i nga se kho
lesikholwa	l e si khol w a
selifikile	se li fik ile
hleze	hleze
unosimilo	u n o si mil o
ababekhona	a ba be kho na
sabantwana	s a ba ntw ana, s a ba ntwana
engizociba	e ngi zo cib a
ezintabeni	e zin tab eni
lilokhu	li lokhu
baqhubekele	ba qhub ek el e
basale	b a sal e, ba sal e
abashova	a ba shov a
bekungafanele	be ku nga fanel e
udumisani	u dumisani
kuhlangane	ku hlangan e
street	street
balubeke	b a lu bek e
angizange	a ngi zange
ngingabukela	ngi nga buk el a
sibanjwe	si banj w e
ibatshela	i ba tshel a
adonselwa	a donsel w a
obokufa	o b o ku f a
unebhandishi	u n e bhandishi
wathontela	w a thont el a
ningaphumeli	ni nga phum el i
okwamphaphamisa	o kw a m phapham is a
nafezela	na fezela
ngezitebhisi	ng e zi tebhisi
ngiye	ngi y e
nanomuntu	na n o mu ntu
abakatholakali	a ba ka thol akal i
iliqhinga	i li qhing a
yezizathu	y e zi zathu
sasizishayela	s a si zi shay el a
sekunento	se ku n e n to
amabili	a ma bili
bekumele	be ku m el e
kufundwe	ku fund w e
selilengela	se li leng el a
kufundwa	ku fund w a
ungangikhaleli	u nga ngi khalel i
ukuchwensa	u ku chwens a
ukusebenza	u ku sebenz a
ngincome	ngi ncom e
nencu	n e ncu
uyokutshela	u yo ku tshel a
ngekhala	ng e khala
loyindlu	l o y i n dlu
asole	a sol e
wayeseshonisa	w a yese shon is a
lilambile	li lamb ile
asola	a sol a
kabakwazi	ka ba kw azi
sekunomugqa	se ku n o mu gqa
ungabuza	u nga buz a
ngabambelela	ng a bambel el a
ayithathe	a yi thath e
ubuntu	u bu ntu
usaqhubeka	u sa qhub ek a
ukuyichaza	u ku yi chaz a
nxumalo	nxumalo
lentombi	le n tombi
ukweneka	u kw enek a
izindaba	i zin daba
wafike	w a fik e
kwengane	kw e n gane
ayabona	a ya bon a
ukuthini	u ku thi ni
ayephambili	a ye phambili
umuzwe	u mu zwe
udlala	u dlal a
kunyatheliswa	ku nyathel is w a
kukhombisa	ku khomb is a
alandelandele	a landeland el e
kusenjalo	ku se njalo
isicabha	i si cabha
lokuphunyula	l o ku phunyul a
amakhehla	a ma khehla
yomfana	y o m fana
baba	b a b a, baba, ba b a
ubengenjena	u be nge nje na
asecabange	a se cabang e
lumuthi	lu mu thi
babo	ba bo
mpiloni	m pil o ni
umfana	u m fana, u m f ana
udaba	u daba
wayinhlabathi	w ayinhlabathi
ngegazi	ng e gazi
nohluphile	n o hluph ile
baphila	ba phil a
ukuzibuka	u ku zi buk a
sabo	sa bo
uzwide	u zwide
kathathu	ka thathu
zakhuleka	z a khul ek a
sengiphila	se ngi phil a
zafa	z a f a
bagcine	ba gcin e
yasemtshezi	ya se m tshezi
lenxuluma	le n xuluma
isebucayini	i se bucay ini
izokwenekelwa	i zo kw enek el w a
lensangu	l e n sangu, le n sangu
ahlangane	a hlangan e
laliqopha	l a li qoph a
asikho	a si kho
wasivula	w a si vul a
ngesokuhlwa	ng e s o ku hlw a
sekuhwalele	se ku hwal el e
ihlakaniphise	i hlakaniph is e
hawu	hawu
awubange	a wu bang e
oyongcwatshwa	o yo ngcwatsh w a
ngiyobuyela	ngi yo buy el a
ojwayeleka	o jwayel ek a
nezangoma	n e z angoma
limbeka	li m bek a
ngaphansi	nga phansi
sebezihudula	se be zi hudul a
ngiphansi	ngi phansi
zinqwaba	zi nqwab a
edandi	e dandi
ngaphezulu	nga phezulu
ngimemeze	ngi memez e
gozololo	gozololo
ubethe	u beth e
ibulawe	i bulaw e
angake	a nga ke
amlethele	a m leth el e
emapulazini	e ma pulaz ini
iningi	i ningi
kwamanxiwa	kwa ma nxiwa
mhlawumbe	mhlawumbe
ngike	ngi ke
sokudla	s o ku dl a
esitimeleni	e si timel eni
yayithanda	y a yi thand a
bashayisane	ba shay is an e
zombili	zo m bili
balishumi	ba li shumi
niyangizwisa	ni ya ngi zw is a
ngisemvakwabo	ngi se mva kwa bo
ngekhanda	ng e khanda
zibizwa	zi biz w a
ngushaka	ng u shaka
ngithe	ngi th e
kufundisa	ku fund is a
wadla	w a dl a
uqiliga	u qilig a
ngisachitha	ngi sa chith a
ebalandele	e ba landel e
iwashi	i washi
baxoxele	ba xox el e
njengezinto	njeng e zin to
sezisenze	se zi s enz e
abafo	a ba fo
ngemvubu	ng e m vubu
ivuna	i vun a
esiteshini	e si tesh ini
yomdlalo	y o m dlal o
ziyosisiza	zi yo si siz a
kunalokho	kuna lo kh o
kwadliwa	kw a dl iw a
umuthi	u mu thi
libheke	li bhek e
kunalokhu	kuna lo khu
umgcagco	u m gcagc o
akusasizi	a ku sa siz i
iqhubekile	i qhub ek ile
udambuza	u dambuz a
nensizwa	n e n sizwa
echobana	e chob an a
eyingozi	e y i n gozi
esemdala	e se m dala
lungayibambanga	lu nga yi bamb anga
ngumuntu	ng u mu ntu
ebangeni	e bang eni
igcwele	i gcwel e
ezidonsa	e zi dons a
ezimhlophe	e zi mhlophe
ngabanye	ng a ba nye
edolweni	e dolw eni
uzothi	u zo thi
wubuhlakalala	w u bu hlakalala
ukufika	u ku fik a
lishona	li shon a
ngigxawuzele	ngi gxawuz el e
yini	yi ni
wayengakanqwamani	w a ye nga ka nqwaman i
kasizwa	ka sizwa
ayiyi	a yi y i
abantwana	a ba ntwana
ababengazi	a ba be ng az i
ngamphendula	ng a m phendul a
sesigugile	se si gug ile
samakhawa	s a ma khawa
ngovivi	ng o vivi
ezinhlungwini	e zin hlungw ini
ukusiza	u ku siz a
ngiyobheka	ngi yo bhek a
kwenziwe	kw enz iw e
kwenziwa	kw enz iw a
kulendlu	ku le n dlu
yinkehli	y i nkehli
izitsha	i zi tsha
ezinsuku	e zin suku
waphuza	w a phuz a
nakini	na ki ni
angitshele	a ngi tshel e
obecabanga	o be cabang a
uyoshada	u yo shad a
ayengakhishwanga	a ye nga khish w anga
sizokulinda	si zo ku lind a
iceliwe	i cel iw e
akuyona	a ku yo na
akakakwazi	a ka ka kw azi
lokucingisisa	l o ku cing isis a
abathengisele	a ba theng is el e
uzozumeka	u zo zum ek a
yamanye	y a ma nye
lezizimo	le zi zi m o
angawuthola	a nga wu thol a
uthathe	u thath e
uthatha	u thath a
nginezindlela	ngi n e zin dlela
angayiqeda	a nga yi qed a
mangivakashe	ma ngi vakash e
suku	suku
kwabakhanyela	kw a ba khany el a
zayithungela	z a yi thung el a
ukuphikisana	u ku phik is an a
uvakashelaphi	u vakashel a phi
kwethu	kw ethu
bangabantwana	ba ng a ba ntwana
dlamini	dlamini
bengizwele	be ngi zw el e
imfucumfucu	i m fucumfucu
wasichazela	w a si chaz el a
ngizoshonaphi	ngi zo shon a phi
ngisaphila	ngi sa phil a
sokhela	s okhel a
bukajantshi	buka jantshi
babuke	ba buk e
emvusa	e m vus a
kwalelidwala	kwa le li dwala
sasisobabili	s a si so ba bili
wayekuthatha	w a yekuthath a
kuchaza	ku chaz a
ekhaleni	e khal eni
indlovukazi	i n dlovu kazi
ukuqonda	u ku qond a
engenandaba	e nge na n daba
loluphahla	lo lu phahla
katajewo	ka tajewo
ngiyakweluleka	ngi ya kw elul ek a
sajabula	s a jabul a
sikhulu	si khulu
ngokunjalo	ng o ku njalo
noyise	n o yise
olungakuthinta	o lu nga ku thint a
mayimendisele	ma yi m end is el e
uxhume	u xhum e
kulenkosikazi	ku le n kosi kazi
yadliwa	y a dl iw a
akathatheni	a ka thath en i
ndawondawo	ndawo n dawo
ukungihlolela	u ku ngi hlol el a
sendawo	s e n dawo
uthenga	u theng a
wawuthe	w a wu th e
ukhululeke	u khululek e
ngiphumelele	ngi phumel el e
kungashona	ku nga shon a
yabafazi	y a ba fazi
lwezingane	lw e zin gane
sikwethemba	si kw ethemb a
kupotifari	ku potifari
ngiyokuhlenga	ngi yo ku hleng a
ngezintelezi	ng e zin telez i
ukuyojika	u ku yo jik a
wohloka	w o hlok a, wohlok a
sebebabili	se be ba bili
ucingo	u cing o
wayesamile	w a ye sa m ile
lisalwa	li sa lw a
owubuzayo	o wu buz a yo
zinsizwa	zinsizwa
uhlakaniphile	u hlakaniph ile
yase	ya se
ukwesaba	u kw esab a
yaso	ya so
ihlakaniphile	i hlakaniph ile
ukufunda	u ku fund a
ngodadewethu	ng o dade w ethu
nentokozo	n e n tokoz o
ukhuluphele	u khuluphel e
wabheka	w a bhek a
eselifumbethe	e se li fumbeth e
ukudideka	u ku did ek a
emehlweni	e m ehlw eni
kabangeni	ka ba ngen i
ende	e n de
zadedelwa	z a ded el w a
waziduduza	w a zi duduz a
bencenge	be nceng e
angizokubuza	a ngi zo ku buz a
neminyaka	n e mi nyaka
la	la
ulizzy	u lizzy
nasegilonko	na se gilonko
kwakukhohlakaleka	kw a ku khohl akal ek a
ensimini	e n sim ini
isilatini	i si latini
lamangalisa	l a mangal is a
bayizolo	ba y izolo
ngumarony	ng u marony
gebe	gebe
esasihleli	e sa si hlel i
sekuyiphupho	se ku y i phuph o
wawubeka	w a wu bek a
endodeni	e n dod eni
ukuyikhipha	u ku yi khiph a
esinamandla	e si n a ma ndla
uyiliphi	u yi li phi
ngilena	ngi le na
kayiyinhle	ka yi yin hle
izithunzana	i zi thunz ana
eduze	eduze
kuyahlushekwa	ku ya hlush ek w a
phandle	phandle
waphatheka	w a phath ek a
besekwaluseni	be se kwa luseni
sizowuqedela	si zo wu qed el a
emihlanu	e mi hlanu
umpontshi	u m pontshi
ungakwenza	u nga kw enz a
enyangeni	e nyang eni
yisihlahla	y i si hlahla
nebala	n e bala
bayaye	ba ya y e
ngowakhe	ng o wa khe
esesitshele	e se si tshel e
obasondela	o ba sondel a
wabe	w abe
uyeka	u yek a
waba	w a b a
sekuseduze	se ku se duze
nokuciba	n o ku cib a
siphenye	si pheny e
neze	neze
azimela	a zi m el a
ngegama	ng e gama
vo	vo
ifike	i fik e
bebaleke	be balek e
kwaziwe	kw azi w e
sizokwenzenjani	si zo kw enz e njani
ungesaba	u ng esab a
ungesabi	u ng esab i
uboneni	u bon e ni
sengonyama	s e n gonyama
lochitha	l o chitha
vuyiswa	vuy is w a
ukuzwela	u ku zw el a
pho	pho
bale	ba le
eqongqotha	e qongqoth a
ungubani	u ng u bani
esinxeleni	e si nxel eni
uhlohlwa	u hlohl w a
njengonyazi	njeng o n yazi
uwenzeni	u w enz e ni
uyiqhweba	u yi qhweb a
usuvale	u s u val e
ngomlilo	ng o m lilo
abakhombise	a ba khomb is e, a b akhomb is e
uyafihla	u ya fihl a
ukubaqambela	u ku ba qamb el a
usiphuthumise	u si phuthum is e
wayiletha	w a yi leth a
umdlalo	u m dlal o
ezivulela	e zi vul el a
akalindanga	a ka lind anga
ngithi	ngi thi
okufuna	o ku fun a
ngiyizibe	ngi yi zib e
kwaphelela	kw a phel el a
ngezela	ng ezel a
ubengakawufaki	u be nga ka wu fak i
sizokuqulela	si zo ku qulel a
yokulala	y o ku lal a
sezilungisiwe	se zi lung is iw e
bakwenza	ba kw enz a
udadewabo	u dade wa bo
abathwele	a ba thwel e
abacabanga	a ba cabang a
ngokuthanda	ng o ku thand a
onendaba	o n e n daba
bekungamathambo	be ku ng a ma thambo
betshela	be tshel a
bamangala	ba mangal a
nezindlebe	n e zin dlebe
nginemisebenzi	ngi n e mi sebenz i
enza	enz a
nonke	no nke
ladlala	l a dlal a
ubumnyama	u bu mnyama
sibona	si bon a
inqume	i nqum e
imenzakalise	i m enz akal is e
eyodwa	e yo dwa
nanhlanu	na n hlanu
nokumhlanza	n o ku m hlanz a
isikhala	i si khala
emathuneni	e ma thun eni
ngamehlo	ng a me hlo
shono	sho no
kwenzelwe	kw enz el w e
kokwanelisa	k o kw anel is a
kwenzelwa	kw enz el w a
yantambama	ya ntambama
angenzani	a ng enz a ni
wakubona	w a ku bon a
inhlamba	i n hlamba
ungavumi	u nga vum i
ngivumelana	ngi vumel an a
ngakunuka	ng a ku nuk a
lababafana	la ba ba fana
angikutholi	a ngi ku thol i
zihlonipha	zi hloniph a
uzibizele	u zi biz el e
ubopha	u boph a
ungazisobozela	u nga zi soboz el a
siyamemeza	si ya memez a
senzela	s enz el a
kuyena	ku ye na
dakla	dakla
ngihlezi	ngi hlez i
zakho	za kho
abazenzi	a ba z enz i
bunomusa	bu n o mu sa
wakhala	w a khal a
sengibonga	se ngi bong a
zakhe	za khe
nokungethembeki	n o ku ng ethemb ek i
ubuthi	u bu thi
amathathu	a ma thathu
ubutha	u bu tha
owayengaba	o w a ye nga b a
okotshani	o k o tshani
umangubane	u mangubane
wangibuka	w a ngi buk a
izinduna	i zin duna
sebengiphendukele	se be ngi phenduk el e
ungichazela	u ngi chaz el a
bakhuluma	ba khulum a
bengalali	be nga lal i
njengokuthatha	njengo ku thath a
zigqoma	zi gqom a
okwangalesosikhathi	o kwa nga le s o si khathi
izimbuzi	i zim buzi
izizathu	i zi zathu
ilungile	i lung ile
naleyongane	na le y o n gane
nezimpondo	n e zim pondo
sengophe	se ng oph e
kusethawuleni	ku se thawul eni
ukwala	u kw al a
yilo	yi lo
ina	i n a
ngakhulekela	ng a khul ek el a
ubugebengu	u bu gebengu
ngiyifuna	ngi yi fun a
kabathandi	ka ba thand i
