sürecek	sür:null ecek:null
rüyalar	rüya:null lar:null
reçel	reçel:null
koyacağım	koy:null acağ:null ım:null
terlik	ter:null lik:null, terlik:null
hamit	hamit:null
babamı	bab:null a:null mı:null, baba:null mı:null, baba:null m:null ı:null
jetonunu	jeton:null u:null nu:null, jeton:null un:null u:null
evlendireceğiz	ev:null len:null dir:null e:null ceğiz:null, evlen:null dir:null e:null ceğiz:null
sorsan	sor:null sa:null n:null
Şennur	Şennur:null
atma	at:null ma:null
sonra	sonra:null
gitmişler	git:null miş:null ler:null
hattı	hatt:null ı:null
hakiki	hakiki:null
dolaştım	dolaş:null tı:null m:null, do:null laş:null tı:null m:null
dolaştık	do:null laş:null tık:null, dolaş:null tı:null k:null, dolaş:null tık:null, do:null laş:null tı:null k:null
kayınvalidene	kayınvalide:null n:null e:null
numaramı	numara:null m:null ı:null, numara:null mı:null
satsak	sat:null sa:null k:null
civarlar	civar:null lar:null
açılarını	açı:null lar:null ın:null ı:null, açı:null ları:null nı:null, açı:null lar:null ı:null nı:null
viyana'ya	viyana:null ':null ya:null
anneme	anne:null m:null e:null
birisini	birisi:null ni:null
aldı	al:null dı:null
annemi	anne:null m:null i:null, anne:null mi:null
birisine	birisi:null ne:null
doğruya	doğru:null ya:null
alayım	alay:null ım:null
alto	
onların	onlar:null ın:null, o:null nlar:null ın:null, on:null lar:null ın:null, o:null nla:null r:null ın:null
unutmam	unut:null ma:null m:null
atlatsak	atla:null t:null sa:null k:null, atlat:null sa:null k:null
çıkacağım	çık:null acağ:null ım:null
temiz	temiz:null
tepe	
temin	temin:null, tem:null in:null
buluştuğumuzda	bul:null uş:null tuğ:null umuz:null da:null, buluş:null tuğ:null umuz:null da:null
sezon	sezon:null
üstün	üst:null ün:null, üstün:null
çalışmalar	çalış:null ma:null lar:null, çalışma:null lar:null
anafartalar'a	anafartalar:null ':null a:null
edinmek	edin:null mek:null
farkı	fark:null ı:null
bulunan	bulun:null an:null, bul:null un:null a:null n:null, bul:null un:null an:null, bulun:null a:null n:null
gezmekten	gez:null mek:null ten:null
söylersin	söyle:null r:null si:null n:null
derneği	
tutam	tut:null a:null m:null, tutam:null
tutan	tut:null an:null, tut:null a:null n:null
anılar	anı:null lar:null
tutar	tutar:null, tut:null ar:null
işlemler	işlem:null ler:null
çektik	çek:null ti:null k:null, çek:null tik:null
biriktirdiğim	birik:null tir:null diğ:null im:null
mücadele	mücadele:null
güzel	güzel:null
arayıp	ara:null yıp:null
birazdan	biraz:null dan:null
arsanın	arsa:null n:null ın:null, arsa:null nın:null
kötülük	kötü:null lük:null, kötülük:null
arayın	ara:null yın:null
bekleyecekler	bekle:null yecek:null ler:null
kaynaşlı	kaynaşlı:null
dokuz	dokuz:null
m	m:null
çıkardık	çık:null ar:null dık:null, çıkar:null dık:null, çık:null ar:null dı:null k:null, çıkar:null dı:null k:null
dükkan	dükkan:null
plan	plan:null
yoğunluk	yoğun:null luk:null
ölümüme	ölüm:null üm:null e:null
esmer	esmer:null
tekrardan	tekrar:null dan:null
gönlünde	gön:null lü:null n:null de:null, gönl:null ü:null nde:null, gönl:null ün:null de:null
kağıdının	kağıd:null ın:null ın:null, kağıd:null ı:null nın:null
esra'nın	esra:null ':null nın:null, esra:null ':null n:null ın:null
şirketini	şirket:null i:null ni:null, şirket:null in:null i:null
sonradan	sonra:null dan:null, sonradan:null
ihtiyaçları	ihtiyaç:null ları:null, ihtiyaç:null lar:null ı:null
çağır	çağır:null
sahneye	sahne:null ye:null
paket	paket:null
çekeceğiz	çek:null e:null ceğiz:null
salatası	salata:null sı:null
asmış	as:null mış:null
düşüncemiz	düş:null ü:null nce:null miz:null, düş:null ün:null ce:null miz:null, düşün:null ce:null miz:null, düş:null ünce:null miz:null, düşünce:null miz:null
çocuklarını	çocuk:null ları:null nı:null, çocuk:null lar:null ın:null ı:null, çocuk:null lar:null ı:null nı:null
yaşarsın	yaşa:null r:null sı:null n:null, yaşar:null sın:null
gelmeye	gel:null me:null ye:null, gel:null mey:null e:null
fabrikasında	fabrika:null sı:null nda:null
yorma	yor:null ma:null
ertelemek	ertele:null mek:null
çevrenizde	çevre:null niz:null de:null, çevr:null e:null niz:null de:null
moruk	moruk:null
defter	defter:null
dönme	dön:null me:null, dönme:null
çağıracağız	çağır:null a:null cağız:null
bulabilsek	bul:null abil:null se:null k:null
beşten	beş:null ten:null
ileride	ileri:null de:null
maaşları	maaş:null ları:null, maaş:null lar:null ı:null
soğudu	soğu:null du:null
tutmak	tut:null mak:null
kullansın	kul:null lan:null sın:null, kullan:null sın:null
duran	duran:null
rüzgarda	rüzgar:null da:null
dükkandan	dükkan:null dan:null
yengeme	yenge:null m:null e:null
kalmışlar	kal:null mış:null lar:null
bire	bir:null e:null
çıkacaksınız	çık:null acak:null sı:null nız:null
giyinmeni	giy:null in:null me:null n:null i:null, giyin:null me:null n:null i:null
amcamdan	amca:null m:null dan:null
hocayı	hoca:null yı:null
seval	seval:null
yaparlar	yap:null ar:null lar:null
arabada	araba:null da:null
bunaldı	bunal:null dı:null
insana	insan:null a:null
işçi	iş:null çi:null, işçi:null
bahattin	bahattin:null
salı	sal:null ı:null, salı:null
toptan	toptan:null, top:null tan:null
vaatte	vaat:null te:null
resmi	resmi:null, resm:null i:null
sen	sen:null
kızlar	kız:null la:null r:null, kız:null lar:null
arkadaşı	arkadaş:null ı:null
dersler	ders:null ler:null
sesimi	ses:null im:null i:null, ses:null i:null mi:null
muhtaç	muhtaç:null
penaltı	penaltı:null
sesime	ses:null im:null e:null
temennim	temenni:null m:null
bırakırım	bırak:null ır:null ım:null
turgutlulu	turgutlu:null lu:null, turgut:null lu:null lu:null
sayfasına	sayfa:null sı:null na:null
ödemeye	öde:null me:null ye:null, öde:null mey:null e:null
yarısını	yarı:null sı:null n:null ı:null, yarı:null sı:null nı:null
yaptıktan	yap:null tık:null tan:null
Şevval'in	
gitmesine	git:null me:null si:null n:null e:null, git:null me:null si:null ne:null
servet	servet:null
türkçe'den	türk:null çe:null ':null den:null, türkçe:null ':null den:null
güya	güya:null
nohut	nohut:null
bülent'ten	bülent:null ':null ten:null
sularını	sula:null r:null ın:null ı:null, su:null ları:null nı:null, su:null lar:null ın:null ı:null, su:null lar:null ı:null nı:null, sula:null r:null ı:null nı:null
yapmaya	yap:null ma:null ya:null, yapma:null ya:null, yap:null may:null a:null
kelebeği	kelebeğ:null i:null
felaket	felaket:null
gitmeden	git:null me:null den:null
ayrıntıyı	ayrıntı:null yı:null
değildi	değ:null il:null di:null
faturada	fatura:null da:null
handikaplı	handikap:null lı:null
ilişkilerin	ilişki:null ler:null in:null
yaş	yaş:null
kahvede	kahve:null de:null
konuşacaksın	konuş:null acak:null sı:null n:null
zamanı	zaman:null ı:null
peşinde	peş:null i:null nde:null, peşin:null de:null, peş:null in:null de:null
isimlerini	isim:null leri:null ni:null, isim:null ler:null in:null i:null, isim:null ler:null i:null ni:null
defans	defans:null
kitapta	kitap:null ta:null
şerefsiz	şeref:null siz:null
layıksın	layık:null sı:null n:null
bütünleme	bütünle:null me:null
servisine	servis:null i:null ne:null, servis:null in:null e:null, servi:null si:null ne:null
tokat'ın	tokat:null ':null ın:null
manikür	manikür:null
derler	derle:null r:null, de:null r:null ler:null
özür	özür:null
annemlerin	anne:null m:null ler:null in:null
düğününde	düğün:null ü:null nde:null, düğün:null ün:null de:null
gösterildi	göster:null il:null di:null
almışta	al:null mış:null ta:null
karaçoban	karaçoban:null
gelebilme	gel:null ebil:null me:null
nisandan	nisan:null dan:null
duran	dur:null a:null n:null, dur:null an:null
tutarsın	tutar:null sı:null n:null, tut:null ar:null sı:null n:null
oluşturdum	oluş:null tur:null du:null m:null
aileye	aile:null ye:null
lisesini	lise:null si:null ni:null
mamak'ta	mamak:null ':null ta:null
bahçesi	bahçe:null si:null
çıkık	çıkık:null
önerilebilir	öner:null il:null ebil:null ir:null
çıkıp	çık:null ıp:null
stoch	stoch:null
gereğinden	gereğ:null in:null den:null, gereğ:null i:null nden:null
kekleri	kek:null ler:null i:null, kek:null leri:null
acaba	acaba:null
kağıdı	kağıd:null ı:null
sevmiş	sev:null miş:null
İş	
yengesini	yenge:null si:null ni:null
düşüncelisin	düşün:null ce:null li:null si:null n:null, düş:null ü:null nce:null li:null si:null n:null, düşünce:null li:null si:null n:null, düş:null ün:null ce:null li:null si:null n:null, düş:null ünce:null li:null si:null n:null
tuncay	tuncay:null
duymuş	duy:null muş:null
evler	ev:null ler:null
beklentilerine	beklenti:null ler:null in:null e:null, beklenti:null leri:null ne:null, beklenti:null ler:null i:null ne:null
salgın	salgın:null, salgı:null n:null
kursa	kur:null sa:null, kurs:null a:null
değer	değer:null, değ:null er:null
euro	euro:null
acelecilik	acele:null ci:null lik:null
merek	merek:null
uğur'a	uğur:null ':null a:null
şeylik	şey:null lik:null
mahvettim	mahvet:null ti:null m:null
güven	güve:null n:null, güven:null
sabahçı	sabahçı:null, sabah:null çı:null
beynimi	beyn:null i:null mi:null, beyn:null im:null i:null
beynime	beyn:null im:null e:null
destansı	destan:null sı:null, destansı:null
doğalgazlı	doğalgaz:null lı:null
elimizden	el:null imiz:null den:null
varlığını	var:null lığ:null ı:null nı:null, var:null lığ:null ın:null ı:null, varlığ:null ın:null ı:null, varlığ:null ı:null nı:null
kaybedeceğinden	kaybed:null eceğ:null in:null den:null, kaybed:null eceğ:null i:null nden:null
önümüzde	ön:null ümüz:null de:null
başarılı	başarı:null lı:null
yüzüme	yüz:null üm:null e:null
desteği	desteğ:null i:null
seçildiğini	seç:null il:null diğ:null i:null ni:null, seç:null il:null diğ:null in:null i:null
dosya	dosya:null
ayaksın	ayak:null sı:null n:null
küçücük	küçücük:null
hayal	hayal:null
hayat	hayat:null
yüzmeye	yüz:null me:null ye:null, yüz:null mey:null e:null
sesler	ses:null ler:null, sesle:null r:null
sahibi	sahib:null i:null
ortaköy	ortaköy:null
dükkanı	dükkan:null ı:null
bekleyip	bekle:null yip:null
aksilik	aksi:null lik:null, aksilik:null
zorunda	zor:null u:null nda:null, zor:null un:null da:null
dikkatini	dikkat:null i:null ni:null, dikkat:null in:null i:null
gelmesin	gel:null me:null si:null n:null
alabilmek	al:null abil:null mek:null
olurum	ol:null ur:null um:null, olur:null um:null
annemde	anne:null m:null de:null
atlatır	atla:null t:null ır:null, atlat:null ır:null
almasına	al:null ma:null sı:null na:null, al:null ma:null sı:null n:null a:null
zamanını	zaman:null ın:null ı:null, zaman:null ı:null nı:null
gidebilir	gid:null ebil:null ir:null
bayramı	bayram:null ı:null
pislik	pis:null lik:null, pislik:null
aparata	aparat:null a:null
sektörünü	sektör:null ün:null ü:null, sektör:null ü:null nü:null
okutalım	oku:null t:null alı:null m:null, oku:null t:null a:null lı:null m:null, oku:null t:null a:null lım:null
belediyede	belediye:null de:null
şişe	şişe:null, şiş:null e:null
be	be:null
çarşıya	çarşı:null ya:null
balığı	balığ:null ı:null
yakınlarda	yakın:null lar:null da:null
bu	bu:null
alacaklar	alacak:null lar:null, al:null acak:null lar:null
yaşamı	yaşam:null ı:null, yaş:null a:null mı:null
gününden	gün:null ü:null nden:null, günü:null n:null den:null, gün:null ün:null den:null
forumlarımıza	forum:null lar:null ımız:null a:null
nasıllar	nasıl:null lar:null
ilgilenen	ilgi:null len:null e:null n:null, ilgi:null len:null en:null
sordular	sor:null du:null lar:null
fulüm	ful:null üm:null
kıtanın	kıta:null nın:null, kıta:null n:null ın:null
pedikür	pedikür:null
servisçiyi	servis:null çi:null yi:null
kuzu	kuzu:null
karnımızı	karn:null ımız:null ı:null
soyadlarına	soyad:null lar:null ı:null na:null, soyad:null lar:null ın:null a:null, soyad:null ları:null na:null
taksim'de	taksim:null ':null de:null
alışırsın	alış:null ır:null sı:null n:null
çıkışlı	çıkış:null lı:null, çık:null ış:null lı:null
kapaklar	kapak:null lar:null
Çelebi	Çelebi:null
anlaşması	an:null laş:null ma:null sı:null, anlaş:null ma:null sı:null, anlaşma:null sı:null
toplumsal	toplum:null sal:null
uzaktan	uzak:null tan:null
kardeşinde	kardeş:null in:null de:null, kardeş:null i:null nde:null
programlar	programla:null r:null, program:null lar:null
tuvalet	tuvalet:null
sıkacağız	sık:null a:null cağız:null
anlık	an:null lık:null, anlık:null
yoğunum	yoğun:null um:null
sandallı	
piyade	piyade:null
diyeceğim	di:null yeceğ:null im:null
ayağınızı	ayağ:null ınız:null ı:null
bayramdan	bayram:null dan:null
atlama	atla:null ma:null
müşavirlik	müşavir:null lik:null
balıkta	balık:null ta:null
karşılıklı	karşı:null lık:null lı:null, karşılık:null lı:null
performansını	performans:null ı:null nı:null, performans:null ın:null ı:null
şikayet	şikayet:null
çocuk	çocuk:null
faal	faal:null
veli	veli:null
buçukluk	buçuk:null luk:null
yakası	yak:null ası:null, yaka:null sı:null, yak:null a:null sı:null
bizim	biz:null im:null
cin	cin:null
hamamda	hamam:null da:null
uf	uf:null
yüze	yüze:null, yüz:null e:null
etmen	etmen:null, et:null me:null n:null
taşındınız	taşı:null n:null dı:null nız:null, taşın:null dı:null nız:null
geçirmek	geç:null ir:null mek:null, geçir:null mek:null
yapıp	yap:null ıp:null
karlı	kar:null lı:null
enes'e	enes:null ':null e:null
tarz	tarz:null
kaçma	kaç:null ma:null
ciddi	ciddi:null
yapın	yapı:null n:null, yap:null ın:null
doğrultuda	doğrultu:null da:null
kurtarırsın	kurtar:null ır:null sı:null n:null
diyeceğiz	diye:null ceğiz:null, di:null ye:null ceğiz:null
geçirirsin	geç:null ir:null ir:null si:null n:null, geçir:null ir:null si:null n:null
evdeki	ev:null de:null ki:null
sandviç	sandviç:null
karın	kar:null ın:null, karı:null n:null, karın:null
karım	kar:null ım:null, karı:null m:null
martı	
nasılsa	nasılsa:null
bayağı	bayağı:null
boğaz'da	
vermiş	ver:null miş:null
makinesine	makine:null si:null ne:null
piyasada	piyasa:null da:null
fenerbahçe	fenerbahçe:null
istedi	iste:null di:null
yollar	yolla:null r:null, yol:null lar:null
bakıcı	bak:null ıcı:null
atlatacak	atla:null t:null acak:null, atlat:null acak:null
getirecek	getir:null ecek:null
kaça	kaç:null a:null
anlaştık	anlaş:null tık:null, an:null laş:null tı:null k:null, anlaş:null tı:null k:null, an:null laş:null tık:null
diğeri	diğer:null i:null
cumartesi	cumartesi:null
perşembe	perşembe:null
dönemde	dön:null e:null m:null de:null, dönem:null de:null
erkeksin	erkeksi:null n:null, erkek:null si:null n:null
sene	sene:null
gereken	gerek:null en:null, gerek:null e:null n:null
sonrasına	sonrası:null n:null a:null, sonra:null sı:null n:null a:null, sonra:null sı:null na:null
kolaylaştırmışlar	kolay:null laş:null tır:null mış:null lar:null
annenler	anne:null n:null ler:null
yanımda	yan:null ım:null da:null
alcam	al:null ca:null m:null
avanos	avanos:null
kapatma	kapatma:null, kapa:null t:null ma:null, kapat:null ma:null
rızkını	rızk:null ı:null nı:null, rızk:null ın:null ı:null
danimarka'dan	danimarka:null ':null dan:null
sokakta	sokak:null ta:null
hilal'den	
insanlar	insan:null lar:null
evi	ev:null i:null
birisi	birisi:null
yerinde	ye:null r:null in:null de:null, yer:null in:null de:null, ye:null r:null i:null nde:null, yerinde:null, yer:null i:null nde:null
yemekler	yemek:null ler:null
eve	ev:null e:null
aldıklarımı	al:null dık:null lar:null ı:null mı:null, al:null dık:null lar:null ım:null ı:null, al:null dık:null ları:null mı:null
ağlayacak	ağla:null yacak:null
koyulduk	koy:null ul:null du:null k:null, koy:null ul:null duk:null
otelcilikte	otel:null ci:null lik:null te:null
derlenmiş	de:null r:null len:null miş:null, derle:null n:null miş:null
hocam	hoca:null m:null
seçecek	seç:null ecek:null
ekstre	ekstre:null
oda	od:null a:null, oda:null
oyunlarını	oyun:null lar:null ı:null nı:null, oyun:null ları:null nı:null, oyun:null lar:null ın:null ı:null
ekstra	ekstra:null
cebinize	ceb:null iniz:null e:null
firma	firma:null
mahvolduk	mahvol:null duk:null, mahvol:null du:null k:null
görmemişim	görmemiş:null im:null
şimdi	şimdi:null
direktörümüz	direktör:null ümüz:null
semra	semra:null
biri	bir:null i:null
epeydir	epeydir:null
bülent	bülent:null
kafa	kafa:null
parana	para:null n:null a:null
bodrum'da	bodrum:null ':null da:null
köyde	köy:null de:null
metropol'deki	
yakınız	yakı:null nız:null
gezmeye	gez:null mey:null e:null, gez:null me:null ye:null
kağıthane	kağıthane:null
topladık	topla:null dı:null k:null, topla:null dık:null
yakınım	yakın:null ım:null
kombiyi	kombi:null yi:null
zafer	zafer:null
almasın	al:null ma:null sı:null n:null
geçirilip	geç:null ir:null il:null ip:null, geçir:null il:null ip:null
yaptınız	yap:null tı:null nız:null
yazıldığı	yaz:null ıl:null dığ:null ı:null
sigorta	sigorta:null
berbat	berbat:null
rakı	rakı:null
cinsi	cin:null si:null, cins:null i:null
üzülme	üz:null ül:null me:null, üzül:null me:null
aletimi	alet:null im:null i:null, alet:null i:null mi:null
stresin	stres:null in:null
imkanı	imkan:null ı:null
izledik	izle:null di:null k:null, izle:null dik:null
izledim	izle:null di:null m:null
izledin	izle:null di:null n:null
öğretim	öğretim:null, öğreti:null m:null
akşamüstü	akşamüst:null ü:null, akşamüstü:null
arayacağınıza	ara:null yacağ:null ınız:null a:null
humus	humus:null
mekanik	mekanik:null
geldi	gel:null di:null
baba	baba:null, bab:null a:null
salonuna	salon:null u:null na:null, salon:null un:null a:null
çıkaracağım	çıkar:null acağ:null ım:null, çık:null ar:null acağ:null ım:null
oymuş	oy:null muş:null
tüketici	
sistemini	sistem:null in:null i:null, sistem:null i:null ni:null
diktirmeye	dik:null tir:null me:null ye:null, dik:null tir:null mey:null e:null
kıskan	kıskan:null, kıska:null n:null
mesajlarını	mesaj:null ları:null nı:null, mesaj:null lar:null ın:null ı:null, mesaj:null lar:null ı:null nı:null
hande'ye	hande:null ':null ye:null
görebilir	gör:null ebil:null ir:null
açıldığı	aç:null ıl:null dığ:null ı:null
ancak	ancak:null
ayarlarsın	ayarla:null r:null sı:null n:null
düşkün	düşkün:null, düşkü:null n:null
peki	pek:null i:null, peki:null
duygularının	duygu:null lar:null ı:null nın:null, duygu:null lar:null ın:null ın:null, duygu:null ları:null nın:null
durumundan	durum:null u:null ndan:null, durumunda:null n:null, durum:null un:null dan:null
kusura	kusur:null a:null
kopukluklar	kopuk:null luk:null lar:null
galatasaray'ı	galatasaray:null ':null ı:null
buralara	bura:null lar:null a:null
etti	et:null ti:null
serhat'ı	serhat:null ':null ı:null
atakan	atakan:null
beni	ben:null i:null
harıl	harıl:null
kömürü	kömür:null ü:null
ettiklerini	et:null tik:null leri:null ni:null, et:null tik:null ler:null i:null ni:null, et:null tik:null ler:null in:null i:null
hazırlıklar	hazırlık:null lar:null, hazır:null lık:null lar:null
izleyince	izle:null yince:null
tövbe	tövbe:null
elleme	elle:null me:null
çık	çık:null
Şanlıurfa	Şanlıurfa:null
özlem	özlem:null
dereye	der:null e:null ye:null, dere:null ye:null
ayazından	ayaz:null ın:null dan:null, ayaz:null ı:null ndan:null
enerji	enerji:null
gidersiniz	gider:null si:null niz:null, gid:null er:null si:null niz:null
gideceksiniz	gid:null ecek:null si:null niz:null
haberimiz	haber:null imiz:null
robot	robot:null
alacaksınız	alacak:null sı:null nız:null, al:null acak:null sı:null nız:null
yarım	yarım:null, yarı:null m:null, yar:null ım:null
yarın	yarı:null n:null, yarın:null, yar:null ın:null
deniz	deniz:null
uzun	uz:null un:null
teyzemin	teyze:null m:null in:null
çalışacaksın	çalış:null acak:null sı:null n:null
gecikme	gecik:null me:null
nişana	nişan:null a:null
buçuğu	buçuğ:null u:null
babanın	baba:null nın:null, baba:null n:null ın:null
izlemem	izle:null me:null m:null
tamamen	tamamen:null
konuşmam	konuşma:null m:null, konuş:null ma:null m:null
kıtlığı	kıt:null lığ:null ı:null, kıtlığ:null ı:null
alabilirsin	al:null abil:null ir:null si:null n:null
paşa	paşa:null
aklıma	ak:null lı:null m:null a:null, akl:null ım:null a:null
buçuğa	buçuğ:null a:null
ihtiyacı	ihtiyac:null ı:null
unuttum	unut:null tu:null m:null
fabrikaları	
altına	alt:null ı:null na:null, altı:null n:null a:null, altın:null a:null, alt:null ın:null a:null
stajı	staj:null ı:null
yiyin	yi:null yin:null
ailesini	aile:null si:null ni:null
berkin'den	berkin:null ':null den:null
fiyatları	fiyat:null lar:null ı:null, fiyat:null ları:null, fiyatla:null r:null ı:null
durmadan	dur:null ma:null dan:null
tayfası	tayfa:null sı:null
yalnızlığımın	yalnız:null lığ:null ım:null ın:null
geldiğimizde	gel:null diğ:null imiz:null de:null
otorite	otorite:null
dökelim	dök:null e:null li:null m:null, dök:null eli:null m:null, dök:null e:null lim:null
yağdığını	yağ:null dığ:null ı:null nı:null, yağ:null dığ:null ın:null ı:null
yiyişi	yi:null yiş:null i:null
kadınlar	kadın:null lar:null
karşı	karşı:null
eylül'ün	eylül:null ':null ün:null
yaşama	yaşa:null ma:null, yaşama:null, yaşam:null a:null
denizden	deniz:null den:null
umrunda	umr:null un:null da:null, umr:null u:null nda:null
edirne'de	edirne:null ':null de:null
ismin	ism:null in:null
yazmak	yaz:null mak:null
halası	halas:null ı:null, hala:null sı:null
bebeğini	bebeğ:null in:null i:null, bebeğ:null i:null ni:null
muayenehanenin	muayenehane:null n:null in:null, muayenehane:null nin:null
paylaşımcı	paylaşım:null cı:null
mamasını	mama:null sı:null nı:null
Ömer'de	Ömer:null ':null de:null
fırsatta	fırsat:null ta:null
durmaktan	dur:null mak:null tan:null
kapıdan	kapı:null dan:null
model	model:null
değiştirmeye	değiş:null tir:null me:null ye:null, değiş:null tir:null mey:null e:null
perisi	peri:null si:null
teknoloji	
abisinin	abis:null i:null nin:null, abis:null in:null in:null, abi:null si:null nin:null
tempo	tempo:null
kayınpederi	kayınpeder:null i:null
almış	al:null mış:null
parçaları	parçala:null r:null ı:null, parça:null lar:null ı:null, parça:null ları:null
neresinden	nere:null si:null n:null den:null, nere:null si:null nden:null
olmaları	ol:null ma:null ları:null, ol:null ma:null lar:null ı:null
şarkıcının	şarkı:null cı:null nın:null, şarkı:null cı:null n:null ın:null
saçmalık	saçmalık:null, saç:null ma:null lık:null, saçma:null lık:null
saldım	sal:null dı:null m:null
buzdolaplarının	buzdolap:null lar:null ı:null n:null ın:null, buzdolap:null lar:null ı:null nın:null, buzdolap:null ları:null nın:null
freni	fren:null i:null
oynayalım	oyna:null ya:null lı:null m:null, oyna:null ya:null lım:null, oyna:null yalı:null m:null
gürsel	gürsel:null, gür:null sel:null
kavga	kavga:null
yetecek	yet:null ecek:null
kralın	kral:null ın:null
hassa	hassa:null
söyleyeceğim	söyle:null yeceğ:null im:null
üşüdü	üşü:null dü:null
dedikodulara	dedikodu:null lar:null a:null
yandan	yan:null dan:null
irak	irak:null
hazırlayacağım	hazırla:null yacağ:null ım:null
istikbaline	istikbal:null in:null e:null, istikbal:null i:null ne:null
ısmarlayacağım	ısmarla:null yacağ:null ım:null
aldığımız	al:null dığ:null ımız:null
bandırma	bandırma:null
kıyılarında	kıyı:null lar:null ın:null da:null, kıyıla:null r:null ı:null nda:null, kıyıla:null r:null ın:null da:null, kıyı:null ları:null nda:null, kıyı:null lar:null ı:null nda:null
bağırma	bağır:null ma:null
İngilizceyi	İngiliz:null ce:null yi:null, İngilizce:null yi:null
noktada	nokta:null da:null
fener'in	fener:null ':null in:null
çiğ	çiğ:null
kalbinize	kalb:null iniz:null e:null, kalbi:null niz:null e:null
atıştırma	atış:null tır:null ma:null, at:null ış:null tır:null ma:null, atıştır:null ma:null
şakadan	şaka:null dan:null
emriye	emriye:null, emri:null ye:null
keserler	kes:null er:null ler:null, keser:null ler:null
kadınlarda	kadın:null lar:null da:null
kesindi	kesin:null di:null
problemin	problem:null in:null
problemim	problem:null im:null
bittiğinde	bit:null tiğ:null i:null nde:null, bit:null tiğ:null in:null de:null
lirası	lira:null sı:null
kıtır	kıtır:null
kutu	kut:null u:null, kutu:null
ölmek	öl:null mek:null
giyecek	giy:null ecek:null, giyecek:null
affetmem	affet:null me:null m:null
bankada	banka:null da:null
iş	iş:null
doktorlar	doktor:null lar:null
almaya	al:null ma:null ya:null, al:null may:null a:null
efe	efe:null
senelerce	sene:null ler:null ce:null
bitecek	bit:null ecek:null
üniversite	üniversite:null
temeli	temel:null i:null
arkada	arka:null da:null
martı	martı:null, mart:null ı:null
şubat	şubat:null
çıksam	çık:null sa:null m:null
şeyli	şey:null li:null
peşinden	peş:null i:null nden:null, peşin:null den:null, peş:null in:null den:null
erdal	erdal:null
sınıf	sınıf:null
öğrenmiş	öğren:null miş:null
tesadüfen	tesadüfen:null
attı	at:null tı:null
ayarlayacağım	ayarla:null yacağ:null ım:null
kimseyi	kimse:null yi:null
şirketten	şirket:null ten:null
kimisi	kimisi:null, kimi:null si:null
yenildiğimizi	yen:null il:null diğ:null imiz:null i:null, ye:null nil:null diğ:null imiz:null i:null
öbür	öbür:null
bakarım	bak:null ar:null ım:null
İngiltere'ye	İngiltere:null ':null ye:null
salı	
satışa	satış:null a:null, sat:null ış:null a:null
anlamda	anlam:null da:null
karşılığını	karşı:null lığ:null ın:null ı:null, karşılığ:null ın:null ı:null, karşılığ:null ı:null nı:null, karşı:null lığ:null ı:null nı:null
kişileri	kişi:null ler:null i:null, kişi:null leri:null
kovalardan	kovala:null r:null dan:null, kova:null lar:null dan:null, kov:null a:null lar:null dan:null
öğrenciler	öğrenci:null ler:null
unutma	unut:null ma:null
tutkusu	tutku:null su:null
tapu	tapu:null
torunu	torun:null u:null, tor:null un:null u:null, tor:null u:null nu:null
üzülmüş	üzül:null müş:null, üz:null ül:null müş:null
yapmadan	yapma:null dan:null, yap:null ma:null dan:null
nargile	nargile:null
okulların	okul:null lar:null ın:null
eşsiz	eş:null siz:null
kenarındaki	kenar:null ı:null nda:null ki:null, kenar:null ın:null da:null ki:null
şeyinde	şey:null i:null nde:null, şey:null in:null de:null
çocuğa	çocuğ:null a:null
kayseri'ye	kayseri:null ':null ye:null
tartıldım	tart:null ıl:null dı:null m:null
çocuğu	çocuğ:null u:null
binlerce	bin:null ler:null ce:null
isparta	isparta:null
ağaçları	ağaç:null lar:null ı:null, ağaç:null ları:null
giyilecek	giy:null il:null ecek:null
döveceğim	döv:null eceğ:null im:null
üzerinde	üz:null er:null in:null de:null, üzer:null i:null nde:null, üzer:null in:null de:null, üz:null er:null i:null nde:null
camiye	cami:null ye:null
reklamı	reklam:null ı:null
hoca	hoca:null
neredeki	nere:null de:null ki:null
nasıl	nasıl:null
savaş	savaş:null
akrabanın	akraba:null n:null ın:null, akraba:null nın:null
taş	taş:null
sarhoş	sarhoş:null
neşeli	neşe:null li:null
yasa	yasa:null, yas:null a:null
alacağız	al:null a:null cağız:null, ala:null cağız:null
ogün	ogün:null
kirasını	kira:null sı:null nı:null
alacağım	alacağ:null ım:null, al:null acağ:null ım:null
kafan	kafa:null n:null
çamaşır	çamaşır:null
resmen	resmen:null
kapama	kap:null a:null m:null a:null, kapa:null ma:null, kapama:null
resimci	resim:null ci:null
uyandı	uyan:null dı:null
atmış	at:null mış:null
yayınladığı	yayınla:null dığ:null ı:null
edebiyatı	edebiyat:null ı:null
açıklandı	açık:null lan:null dı:null, açıkla:null n:null dı:null
mustafa'yı	mustafa:null ':null yı:null
berke	berk:null e:null, berke:null
konuşalım	konuş:null a:null lı:null m:null, konuş:null a:null lım:null, konuş:null alı:null m:null
kardeşime	kardeş:null im:null e:null
görecek	gör:null ecek:null
endişelendik	endişe:null len:null dik:null, endişe:null len:null di:null k:null
başlayacağım	başla:null yacağ:null ım:null
köprünün	köprü:null n:null ün:null, köprü:null nün:null
bacım	bacı:null m:null
artar	art:null ar:null
bey'in	
getirince	getiri:null n:null ce:null, getir:null ince:null
doksan	doksan:null
